ship_mode,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order ID,Order Date,,,
Same Day,Home Office,United States,San Francisco,California,94109,West,FUR-FU-2160-408,Furniture,Furnishings,Eldon Fold N Roll Cart,838.8834,10,0.8,171.5031,US-2024-205498,07-04-2023,,,
Same Day,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-6242-463,Furniture,Furnishings,Global Push Button Manager Chair,2109.1235,13,0,77.4987,US-2024-495268,08-02-2020,,,
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,FUR-FU-2439-616,Furniture,Furnishings,Bretford Conference Table,712.5751,10,0,-300.5363,US-2021-747796,18-10-2020,,,
Second Class,Home Office,United States,Los Angeles,California,90036,West,OFF-AR-3946-657,Office Supplies,Art,HP Officejet Printer,947.645,2,0.15,-538.4408,US-2020-208840,20-11-2024,,,
"Standard Class,Home Office,Unclosed quote without termination,Fort Lauderdale,Florida,33311
Same Day,Home Office,United States,Dallas,Texas,75220,Central,FUR-TA-4432-264,Furniture,Tables,Eldon Fold N Roll Cart,1196.7104,13,0,-248.4993,US-2020-225042,2022-11-01
Standard Class,Home Office,United States,San Francisco,California,94109,West,TEC-AC-1615-319,Technology,Accessories,3M Storage Bin,1396.5277,8,0.45,399.9768,US-2023-448171,2020-09-11
First Class,Home Office,United States,Dallas,Texas,75220,Central,FUR-TA-4688-718,Furniture,Tables,Hon Deluxe Fabric Chair,2480.4186,14,0.3,-1304.0474,US-2021-283452,2020-06-10
First Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-BI-8639-544,Office Supplies,Binders,Logitech Wireless Mouse,1841.8235,3,0,455.4665,US-2020-481074,2023-11-06
Second Class,Consumer,United States,Detroit,Michigan,48227,Central,OFF-PA-1429-929,Office Supplies,Paper,Eldon Fold N Roll Cart,696.5771,6,0.45,248.2958,US-2021-322673,2024-10-04
Same Day,Consumer,United States,Columbus,Ohio,43229,East,TEC-MA-5357-544,Technology,Machines,Cisco IP Phone,482.3462,4,0,-16.5225,US-2021-496196,2024-10-14
Same Day,Home Office,United States,Houston,Texas,77036,Central,FUR-TA-5051-665,Furniture,Tables,Global Push Button Manager Chair,879.0411,14,0.15,44.473,US-2023-768422,2020-07-13
First Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-4738-343,Office Supplies,Art,Newell 322,2339.8245,6,0.1,-319.873,US-2023-700862,2022-05-22
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,OFF-AR-1881-358,Office Supplies,Art,Apple iPhone,2482.5231,4,0.15,-360.1814,US-2021-784084,2022-05-23
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-8594-722,Furniture,Furnishings,Eldon Fold N Roll Cart,893.5603,11,0.45,-153.3714,US-2022-292748,2023-06-01
Same Day,Home Office,United States,Los Angeles,California,90036,West,TEC-CO-3191-203,Technology,Copiers,Apple iPhone,1838.6893,4,0,430.6597,US-2022-134394,2022-11-28
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,FUR-FU-8737-945,Furniture,Furnishings,Eldon Fold N Roll Cart,212.6426,2,0,11.1502,US-2021-886104,2023-10-27
Second Class,Consumer,United States,Houston,Texas,77036,Central,TEC-PH-4840-268,Technology,Phones,Eldon Fold N Roll Cart,1951.4958,3,0.3,303.2268,US-2021-454971,2023-06-21
First Class,Home Office,United States,Newark,New Jersey,7114,East,TEC-CO-4863-120,Technology,Copiers,3M Storage Bin,839.906,3,0.6,-256.9534,US-2024-937741,2022-04-18
Same Day,Home Office,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-3057-932,Furniture,Furnishings,Bretford Conference Table,2026.8266,4,0.15
Second Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-AP-6890-572,Office Supplies,Appliances,Xerox 1967,877.01,11,0.6,-94.1058,US-2024-777867,2020-11-10
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,OFF-ST-6918-615,Office Supplies,Storage,Logitech Wireless Mouse,1094.4162,3,0,-45.6148,US-2024-381117,2021-03-15
Same Day,Corporate,United States,Columbus,Ohio,43229,East,FUR-BO-3311-852,Furniture,Bookcases,Hon Deluxe Fabric Chair,1272.1386,5,0.8,282.6797,US-2020-803643,2023-08-07
Standard Class,Home Office,United States,Detroit,Michigan,48227,Central,TEC-AC-6134-771,Technology,Accessories,Cisco IP Phone,1904.6283,8,0.15,70.6959,US-2021-805698,2024-08-23
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,OFF-BI-5106-437,Office Supplies,Binders,Bush Somerset Bookcase,424.4603,9,0.45,-132.7919,US-2022-258247,2020-06-01
First Class,Corporate,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-5644-926,Furniture,Tables,Logitech Wireless Mouse,1594.6811,3,0,421.8357,US-2022-512417,2020-07-07
Standard Class,Consumer,United States,New York City,New York,10024,East,FUR-BO-8410-468,Furniture,Bookcases,Global Push Button Manager Chair,1247.6825,4,0,-278.4739,US-2024-572075,2022-01-24
Same Day,Home Office,United States,Detroit,Michigan,48227,Central,TEC-CO-8241-307,Technology,Copiers,Bretford Conference Table,2507.725,9,0.8,1078.5593,US-2023-619274,2023-08-15
Standard Class,Consumer,United States,Newark,New Jersey,7114,East,TEC-MA-8354-960,Technology,Machines,Fellowes Binder,1921.7835,14,0,869.9661,US-2020-487653,2024-06-03
First Class,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-8788-980,Technology,Phones,HP Officejet Printer,2340.195,13,0.15,251.357,US-2023-624936,2022-02-01
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-8026-267,Technology,Machines,Global Push Button Manager Chair,459.071,1,0,-139.1704,US-2020-450446,2021-04-08
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,FUR-BO-5101-937,Furniture,Bookcases,Xerox 1967,253.6635,6,0.45,-104.7513,US-2022-365049,2020-10-17
Same Day,Corporate,United States,Columbus,Ohio,43229,East,TEC-CO-4977-901,Technology,Copiers,Bush Somerset Bookcase,2030.4565,3,0.2,-623.3449,US-2020-582796,2021-06-15
Second Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-BI-2111-703,Office Supplies,Binders,Global Push Button Manager Chair,371.2152,2,0,-129.1169,US-2020-960720,2021-11-15
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,FUR-FU-8716-948,Furniture,Furnishings,Apple iPhone,2851.1166,10,0,705.4515,US-2023-895359,2024-07-17
First Class,Home Office,United States,Dallas,Texas,75220,Central,TEC-MA-3351-348,Technology,Machines,Xerox 1967,2226.2117,3,0.4,-1286.9937,US-2021-388986,2023-11-27
Standard Class,Home Office,United States,San Francisco,California,94109,West,OFF-PA-3584-494,Office Supplies,Paper,Apple iPhone,1337.2175,10,0.8,-628.6362,US-2022-669359,2022-10-05
First Class,Consumer,United States,Detroit,Michigan,48227,Central,TEC-AC-6915-183,Technology,Accessories,Xerox 1967,1483.3303,10,0.1,-685.1251,US-2021-946453,2023-02-20
Same Day,Corporate,United States,Dallas,Texas,75220,Central,TEC-CO-7712-852,Technology,Copiers,Logitech Wireless Mouse,2904.3678,8,0.2,1225.9332,US-2022-982975,2024-09-08
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,TEC-CO-7780-127,Technology,Copiers,Cisco IP Phone,1382.9479,9,0.2,-762.3249,US-2021-823671,2024-05-08
Standard Class,Home Office,United States,Detroit,Michigan,48227,Central,TEC-AC-8157-742,Technology,Accessories,Global Push Button Manager Chair,2383.773,6,0.45,950.0693,US-2020-581873,2024-05-11
Standard Class,Home Office,United States,Chicago,Illinois,60623,Central,FUR-FU-5625-548,Furniture,Furnishings,Apple iPhone,1544.2335,2,0,-105.7831,US-2024-538987,2022-05-17,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,FUR-FU-2360-653,Furniture,Furnishings,Fellowes Binder,1652.5293,10,0.8,-88.8594,US-2021-992313,2021-03-03
First Class,Corporate,United States,Fort Worth,Texas,76106,Central,TEC-CO-9769-428,Technology,Copiers,Eldon Fold N Roll Cart,2346.5666,12,0.2,292.187,US-2022-615879,2021-08-08
Same Day,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-1710-139,Office Supplies,Art,Apple iPhone,858.6969,11,0.1,283.9712,US-2020-721557,2021-11-07
Second Class,Consumer,United States,Newark,New Jersey,7114,East,FUR-CH-2677-446,Furniture,Chairs,Bush Somerset Bookcase,2176.2672,9,0.1,743.7919,US-2024-737808,2024-08-07
Same Day,Consumer,United States,Henderson,Kentucky,42420,South,OFF-AP-6779-496,Office Supplies,Appliances,Global Push Button Manager Chair,2992.1331,1,0,1018.5724,US-2024-974610,2023-06-11
Same Day,Home Office,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-3440-195,Office Supplies,Storage,Eldon Fold N Roll Cart,2235.7494,11,0,780.5411,US-2021-751301,2022-09-28
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-BI-4528-234,Office Supplies,Binders,Apple iPhone,2009.1141,2,0,-658.524,US-2020-414494,2020-12-19
Standard Class,Corporate,United States,New York City,New York,10024,East,TEC-AC-7904-320,Technology,Accessories,Bush Somerset Bookcase,2969.1318,1,0.15,-1072.2233,US-2022-568246,2024-04-21
Second Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,FUR-CH-9755-346,Furniture,Chairs,Logitech Wireless Mouse,764.7182,8,0.45,270.1239,US-2021-763738,2024-06-02
Second Class,Corporate,United States,Detroit,Michigan,48227,Central,OFF-PA-6230-546,Office Supplies,Paper,Apple iPhone,192.2106,3,0.2,53.905,US-2024-376832,2021-11-25
Second Class,Home Office,United States,Columbus,Ohio,43229,East,TEC-AC-7042-609,Technology,Accessories,Belkin Surge Protector,56.7038,11,0,8.4606,US-2022-245227,2020-07-06
First Class,Home Office,United States,Jacksonville,Florida,32216,South,FUR-CH-4675-342,Furniture,Chairs,Fellowes Binder,2844.1675,12,0.15,-1283.3314,US-2020-604078,2022-07-14
First Class,Home Office,United States,Henderson,Kentucky,42420,South,FUR-BO-5569-142,Furniture,Bookcases,Logitech Wireless Mouse,2721.2231,14,0,978.7744,US-2024-297955,2024-04-17
Same Day,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-1225-859,Office Supplies,Art,Newell 322,229.8571,1,0,-14.2608,US-2020-942785,2024-05-25
First Class,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-1973-883,Technology,Phones,Cisco IP Phone,2983.9188,9,0,-982.159,US-2023-175128,2020-02-11
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,OFF-PA-5180-899,Office Supplies,Paper,Fellowes Binder,243.5101,2,0.6,75.2858,US-2023-628452,2024-01-16
Same Day,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-7287-629,Office Supplies,Paper,Bretford Conference Table,571.609,7,0,-28.9176,US-2024-256970,2021-04-02
First Class,Corporate,United States,Dallas,Texas,75220,Central,FUR-BO-8285-468,Furniture,Bookcases,HP Officejet Printer,88.2649,10,0.6,-4.9899,US-2020-991611,yesterday
First Class,Consumer,United States,Chicago,Illinois,60623,Central,FUR-BO-3063-406,Furniture,Bookcases,HP Officejet Printer,2896.8844,4,0.6,-471.9642,US-2021-885723,2023-04-28
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,TEC-AC-1554-870,Technology,Accessories,Newell 322,17.2321,7,0.6,3.0812,US-2020-975043,2023-04-06
First Class,Corporate,United States,Columbus,Ohio,43229,East,OFF-ST-8142-363,Office Supplies,Storage,Bush Somerset Bookcase,2420.9112,8,0,1102.2749,US-2024-693188,2024-08-27
First Class,Home Office,United States,Los Angeles,California,90036,West,OFF-ST-8162-305,Office Supplies,Storage,Global Push Button Manager Chair,564.5919,1,0.3,-140.5237,US-2022-839076,2024-06-14
First Class,Corporate,United States,Houston,Texas,77036,Central,TEC-AC-2778-876,Technology,Accessories,Eldon Fold N Roll Cart,2700.5046,2,0.2,578.6241,US-2023-196765,2022-11-15
First Class,Corporate,United States,Henderson,Kentucky,42420,South,FUR-CH-1609-562,Furniture,Chairs,Global Push Button Manager Chair,1831.993,8,0.1,-1077.1232,US-2020-196380,2020-06-23
First Class,Home Office,United States,Houston,Texas,77036,Central,TEC-AC-4941-205,Technology,Accessories,Bush Somerset Bookcase,2445.0286,2,0,-1178.9873,US-2022-131093,2024-01-07
First Class,Consumer,United States,Dallas,Texas,75220,Central,OFF-PA-8815-199,Office Supplies,Paper,Fellowes Binder,2638.3366,7,0.4,-661.2636,US-2022-350847,not-a-date
Same Day,Consumer,United States,Houston,Texas,77036,Central,TEC-AC-1820-582,Technology,Accessories,Global Push Button Manager Chair,335.6092,1,0,-133.628,US-2021-282572,2021-02-12
Second Class,Consumer,United States,Jacksonville,Florida,32216,South,TEC-MA-7247-101,Technology,Machines,Newell 322,2178.4872,8,0,-366.5745,US-2022-483396,2023-05-12
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,OFF-PA-3450-112,Office Supplies,Paper,Global Push Button Manager Chair,2212.7859,12,0,141.2835,US-2022-642118,2022-06-15
Same Day,Home Office,United States,Dallas,Texas,75220,Central,TEC-MA-9460-881,Technology,Machines,HP Officejet Printer,759.0845,11,0,-389.7657,US-2023-128662,2022-09-13
Second Class,Consumer,United States,Jacksonville,Florida,32216,South,OFF-AP-8508-144,Office Supplies,Appliances,Fellowes Binder,1210.3296,10,0.3,-297.9039,US-2021-219652,2022-02-08
Same Day,Consumer,United States,New York City,New York,10024,East,TEC-MA-9969-833,Technology,Machines,3M Storage Bin,1021.3949,8,0.3,-450.6126,US-2022-963285,2023-10-13
Same Day,Corporate,United States,Houston,Texas,77036,Central,TEC-AC-6766-954,Technology,Accessories,Hon Deluxe Fabric Chair,2178.9251,7,0.1,718.9462,US-2022-298122,2021-06-12
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,TEC-PH-4027-858,Technology,Phones,Logitech Wireless Mouse,2748.3621,4,0.2,944.865,US-2021-757358,2020-08-07
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-PA-6121-439,Office Supplies,Paper,Bush Somerset Bookcase,1351.8008,9,0.4,-228.1154,US-2021-997879,2021-12-01,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE
Same Day,Corporate,United States,Columbus,Ohio,43229,East,FUR-TA-6094-155,Furniture,Tables,3M Storage Bin,1038.2907,12,0.15,414.3796,US-2021-289262,2022-06-21
Standard Class,Home Office,United States,Houston,Texas,77036,Central,TEC-CO-3607-580,Technology,Copiers,Fellowes Binder,2601.498,1,0,180.985,US-2020-200443,2022-11-11
Same Day,Home Office,United States,Chicago,Illinois,60623,Central,FUR-CH-6946-408,Furniture,Chairs,Bretford Conference Table,1310.4965,7,0.6,634.7917,US-2021-629313,2024-10-20
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,OFF-BI-6206-779,Office Supplies,Binders,Bush Somerset Bookcase,649.9537,11,0,-323.0114,US-2023-226482,2024-07-25
First Class,Home Office,United States,Jacksonville,Florida,32216,South,FUR-BO-2743-390,Furniture,Bookcases,Hon Deluxe Fabric Chair,720.6733,11,0.8,-163.6526,US-2022-759783,2020-11-02
Second Class,Home Office,United States,Los Angeles,California,90036,West,TEC-MA-1708-400,Technology,Machines,Newell 322,279.8009,1,0.45,-15.2354,US-2023-297342,2024-02-28
Second Class,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-AP-2088-208,Office Supplies,Appliances,Eldon Fold N Roll Cart,826.3175,five,0.8,331.9793,US-2023-734675,2024-05-03
First Class,Consumer,United States,Detroit,Michigan,48227,Central,FUR-CH-5784-961,Furniture,Chairs,Cisco IP Phone,327.5088,2,0.45,-27.3715,US-2022-802706,2021-11-18
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,OFF-ST-5327-734,Office Supplies,Storage,Apple iPhone,2975.1289,10,0.2,-369.7523,US-2024-908645,2020-09-06
First Class,Home Office,United States,Columbus,Ohio,43229,East,TEC-CO-1311-778,Technology,Copiers,Newell 322,2625.0112,8,0,1179.1731,US-2024-607799,2023-09-18
Same Day,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-6581-370,Furniture,Chairs,Newell 322,126.1982,9,0,-48.8012,US-2023-761704,2022-09-13
Second Class,Consumer,United States,Dallas,Texas,75220,Central,FUR-CH-7406-945,Furniture,Chairs,Global Push Button Manager Chair,809.9883,8,0,209.2722,US-2021-686836,2022-04-20
Same Day,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-3372-730,Office Supplies,Paper,Hon Deluxe Fabric Chair,2054.6931,13,0,-83.2856,US-2021-341153,2023-03-23
First Class,Consumer,United States,Detroit,Michigan,48227,Central,OFF-ST-6179-383,Office Supplies,Storage,Hon Deluxe Fabric Chair,2999.9206,4,0.1,-243.7721,US-2023-735556,2021-04-17
First Class,Home Office,United States,Seattle,Washington,98103,West,TEC-AC-1971-176,Technology,Accessories,Hon Deluxe Fabric Chair,1729.3916,11,0.4,-894.3383,US-2023-977845,2024-09-09
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,FUR-CH-7555-769,Furniture,Chairs,Fellowes Binder,2609.3724,2,0.6,-1150.904,US-2023-965206,2022-04-11
First Class,Consumer,United States,Newark,New Jersey,7114,East,OFF-BI-9859-293,Office Supplies,Binders,Xerox 1967,2931.1879,3,0,991.4793,US-2023-803995,2020-06-08
First Class,Corporate,United States,Henderson,Kentucky,42420,South,TEC-AC-9128-372,Technology,Accessories,Belkin Surge Protector,905.9548,1,0.45,-97.4971,US-2020-203576,2021-03-01
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-PA-2635-713,Office Supplies,Paper,Bretford Conference Table,2225.1573,10,0.15,-1322.2381,US-2022-995991,2022-06-17
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,OFF-AR-2422-384,Office Supplies,Art,Fellowes Binder,357.985,10,0.4,-171.3231,US-2024-734260,2024-09-12
Second Class,Corporate,United States,Fort Worth,Texas,76106,Central,TEC-AC-9895-588,Technology,Accessories,Fellowes Binder,2554.52,8,0.8,765.8068,US-2020-718262,2020-04-05
Standard Class,Home Office,United States,Henderson,Kentucky,42420,South,TEC-MA-1826-605,Technology,Machines,Hon Deluxe Fabric Chair,2703.0116,3,0.3,-1542.141,US-2021-490649,2022-11-01
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-PH-3693-660,Technology,Phones,Hon Deluxe Fabric Chair,645.7724,14,0,108.0094,US-2020-966410,2023-08-09
First Class,Consumer,United States,Jacksonville,Florida,N/A_ZIP,South,TEC-MA-7153-677,Technology,Machines,Newell 322,1627.575,13,0.4,-804.3888,US-2024-468132,2021-07-19
First Class,Home Office,United States,Newark,New Jersey,7114,East,TEC-PH-1503-751,Technology,Phones,Fellowes Binder,627.3081,1,0.4,258.25,US-2020-855705,2024-12-04
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-3636-955,Furniture,Furnishings,Eldon Fold N Roll Cart,865.1572,3,0.15,144.5731,US-2021-928372,2024-01-23
Second Class,Home Office,United States,Los Angeles,California,90036,West,TEC-MA-7780-290,Technology,Machines,3M Storage Bin,1687.9278,12,0.3,390.3017,US-2023-324868,2021-02-02
Same Day,Home Office,United States,Los Angeles,California,90036,West,FUR-TA-8639-405,Furniture,Tables,Global Push Button Manager Chair,2846.8298,4,0.15,-1336.0855,US-2024-160400,2022-01-21
Same Day,Consumer,United States,Chicago,Illinois,60623,Central,OFF-AP-2930-525,Office Supplies,Appliances,Global Push Button Manager Chair,2779.6368,13,0.15,-1312.2195,US-2024-322128,2024-08-15
Standard Class,Home Office,United States,Seattle,Washington,98103,West,OFF-BI-2615-806,Office Supplies,Binders,Fellowes Binder,1379.5699,7,0.6,-673.626,US-2021-731352,2021-07-24
Same Day,Home Office,United States,Los Angeles,California,90036,West,FUR-TA-1849-274,Furniture,Tables,Xerox 1967,1139.2599,6,0.15,-415.3392,US-2023-126773,2024-05-08
Second Class,Consumer,United States,Houston,Texas,77036,Central,OFF-ST-1774-672,Office Supplies,Storage,Logitech Wireless Mouse,1228.954,1,0.15,-112.1684,US-2020-829576,2022-04-07
Standard Class,Home Office,United States,Los Angeles,California,90036,West,FUR-CH-8590-144,Furniture,Chairs,Fellowes Binder,824.1998,8,0.15,-324.2388,US-2020-816597,2022-07-03
Second Class,Corporate,United States,Columbus,Ohio,43229,East,OFF-BI-5654-944,Office Supplies,Binders,Bretford Conference Table,1557.9303,12,0.45,121.2252,US-2024-422033,2020-07-08
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-AC-8834-627,Technology,Accessories,Logitech Wireless Mouse,777.8473,4,0.15,188.0862,US-2021-737018,2024-09-20
Standard Class,Consumer,United States,Newark,New Jersey,7114,East,OFF-AR-4827-775,Office Supplies,Art,Newell 322,1975.8041,3,0.15,539.0286,US-2023-545725,2021-08-24
Second Class,Consumer,United States,New York City,New York,10024,East,TEC-AC-2568-423,Technology,Accessories,Cisco IP Phone,2862.8949,4,0.8,414.6034,US-2022-255711,2020-04-19
Same Day,Corporate,United States,Henderson,Kentucky,42420,South,FUR-TA-1177-457,Furniture,Tables,3M Storage Bin,719.0685,9,0.3,-166.8001,US-2024-607589,2021-11-08,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE
Same Day,Consumer,United States,Detroit,Michigan,48227,Central,OFF-PA-2691-284,Office Supplies,Paper,Cisco IP Phone,481.9881,3,0.6,176.1434,US-2023-179657,2023-08-16
Standard Class,Corporate,United States,Newark,New Jersey,7114,East,FUR-BO-1605-252,Furniture,Bookcases,HP Officejet Printer,2446.7453,4,0.45,-596.949,US-2023-154782,2022-12-27
Second Class,Corporate,United States,Newark,New Jersey,7114,East,OFF-ST-7554-644,Office Supplies,Storage,HP Officejet Printer,1474.4291,4,0,59.484,US-2021-671141,2022-12-21
First Class,Corporate,United States,Fort Lauderdale,Florida,33311,South,OFF-AR-9839-109,Office Supplies,Art,Apple iPhone,185.124,5,0,32.4902,US-2022-523761,2024-03-23
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-6792-148,Technology,Phones,Hon Deluxe Fabric Chair,1592.4139,2,0,50.2345,US-2022-722166,2022-04-03
Second Class,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-7420-202,Office Supplies,Paper,Fellowes Binder,1385.4925,12,0,218.9781,US-2020-916555,2023-09-21
First Class,Home Office,United States,Jacksonville,Florida,32216,South,TEC-CO-8093-568,Technology,Copiers,Fellowes Binder,1129.6091,2,0,543.6425,US-2020-584376,2022-08-17
Standard Class,Consumer,United States,Los Angeles,California,90036,West,OFF-AP-7468-709,Office Supplies,Appliances,Hon Deluxe Fabric Chair,2931.5631,12,0.6,603.5705,US-2021-933585,2021-07-08
Second Class,Home Office,United States,Chicago,Illinois,60623,Central,TEC-AC-2622-886,Technology,Accessories,Newell 322,1633.5043,9,0.8,181.5421,US-2022-827481,2022-12-21
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-CH-8628-127,Furniture,Chairs,Cisco IP Phone,2442.491,2,0.15,834.1937,US-2022-587259,2024-07-15
First Class,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-3494-287,Technology,Phones,Apple iPhone,2645.9024,10,0.1,676.8109,US-2024-999114,2024-08-08
Standard Class,Consumer,United States,Houston,Texas,77036,Central,OFF-AR-2322-929,Office Supplies,Art,HP Officejet Printer,1446.5418,1,0.3,408.1353,US-2023-559657,2024-10-24
Same Day",Home Office,Unclosed quote without termination,Newark,New Jersey,7114,,,,,,,,,,,,,,
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,FUR-CH-8838-172,Furniture,Chairs,Hon Deluxe Fabric Chair,2182.2042,2,0.3,-340.7859,US-2021-604385,11-09-2020,,,
Same Day,Consumer,United States,Jacksonville,Florida,32216,South,OFF-ST-3288-513,Office Supplies,Storage,Fellowes Binder,2483.7786,10,0.3,-120.8454,US-2023-219447,27-01-2022,,,
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-AR-3733-954,Office Supplies,Art,Xerox 1967,2892.9268,6,0.6,-1716.0717,US-2021-157103,09-06-2023,,,
Second Class,Corporate,United States,Columbus,Ohio,43229,East,OFF-ST-7402-704,Office Supplies,Storage,Apple iPhone,2740.8524,10,0.6,-945.1578,US-2021-664199,17-12-2021,,,
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,TEC-AC-3612-583,Technology,Accessories,Newell 322,2634.6907,4,0.15,1290.2919,US-2023-783032,05-11-2021,,,
